code INSEE,Commune,somme_freq_code_insee,min_freq_code_insee,max_freq_code_insee,count_freq_code_insee
93066,SAINT-DENIS,158665,158665,158665,1
92071,SCEAUX,323974,323974,323974,1
77243,LAGNY-SUR-MARNE,16381,16381,16381,1
92072,SEVRES,181861,181861,181861,1
78551,SAINT-GERMAIN-EN-LAYE,618253,144072,474181,2
92063,RUEIL-MALMAISON,338756,17730,321026,2
77022,BARBIZON,112956,112956,112956,1
94081,VITRY-SUR-SEINE,400094,400094,400094,1
77131,COULOMMIERS,15582,15582,15582,1
77316,MORET-SUR-LOING,27592,27592,27592,1
77405,SAINT-CYR-SUR-MORIN,45330,45330,45330,1
77108,CHELLES,14766,14766,14766,1
91200,DOURDAN,103390,103390,103390,1
77533,VULAINES-SUR-SEINE,25744,25744,25744,1
78350,LOUVECIENNES,43894,43894,43894,1
75112,PARIS-12E-ARRONDISSEMENT,1079906,1079906,1079906,1
95295,GUIRY-EN-VEXIN,57376,57376,57376,1
75108,PARIS-8E-ARRONDISSEMENT,4431491,221550,3128417,4
75103,PARIS-3E-ARRONDISSEMENT,6605500,194834,4867231,4
94079,VILLIERS-SUR-MARNE,4474,4474,4474,1
95428,MONTMORENCY,13372,13372,13372,1
92012,BOULOGNE-BILLANCOURT,736176,248971,487205,2
91114,BRUNOY,19276,19276,19276,1
75116,PARIS-16E-ARRONDISSEMENT,6929577,117203,3386883,5
95500,PONTOISE,54551,21280,33271,2
94034,FRESNES,52548,52548,52548,1
78361,MANTES-LA-JOLIE,35439,35439,35439,1
75104,PARIS-4E-ARRONDISSEMENT,15872316,701799,15170517,2
77186,FONTAINEBLEAU,1860026,19162,1840864,2
93048,MONTREUIL,18470,18470,18470,1
75101,PARIS-1ER-ARRONDISSEMENT,46571023,2026932,41694938,3
95205,ECOUEN,325788,325788,325788,1
95313,L'ISLE-ADAM,45502,45502,45502,1
78356,MAGNY-LES-HAMEAUX,101205,101205,101205,1
92040,ISSY-LES-MOULINEAUX,76424,76424,76424,1
77288,MELUN,29895,29895,29895,1
77284,MEAUX,44013,44013,44013,1
77379,PROVINS,104858,104858,104858,1
77285,LE MEE-SUR-SEINE,4245,4245,4245,1
78517,RAMBOUILLET,80695,80695,80695,1
75107,PARIS-7E-ARRONDISSEMENT,31525837,3503073,15208398,4
75109,PARIS-9E-ARRONDISSEMENT,602993,166179,436814,2
92025,COLOMBES,27099,27099,27099,1
93013,LE BOURGET,1175116,1175116,1175116,1
75118,PARIS-18E-ARRONDISSEMENT,211740,211740,211740,1
78646,VERSAILLES,27421364,27421364,27421364,1
94068,SAINT-MAUR-DES-FOSSES,42030,42030,42030,1
75106,PARIS-6E-ARRONDISSEMENT,324316,98579,225737,2
94052,NOGENT-SUR-MARNE,31702,31702,31702,1
78575,SAINT-REMY-LES-CHEVREUSE,24916,24916,24916,1
78498,POISSY,90258,90258,90258,1
91223,ETAMPES,52032,52032,52032,1
78208,ELANCOURT,63481,63481,63481,1
75105,PARIS-5E-ARRONDISSEMENT,6464884,65916,3204311,6
75115,PARIS-15E-ARRONDISSEMENT,703532,85048,351270,3
95018,ARGENTEUIL,11531,11531,11531,1
77333,NEMOURS,139424,139424,139424,1
